UserDay_ID,Profile,ScreenGlances,IdleChecking,LateNightUse,SocialMediaUsage,ScreenGlances_Source,SocialMediaUsage_Source,IdleChecking_Source,LateNightUse_Source
0,Night Owl,67,27,126,85.2,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
1,Night Owl,57,26,149,77.7,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
2,Night Owl,53,32,98,65.3,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
3,Night Owl,63,13,67,64.4,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
4,Night Owl,46,31,87,55.9,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
5,Night Owl,81,26,112,55.8,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
6,Night Owl,52,29,81,73.8,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
7,Night Owl,52,26,95,88.5,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
8,Night Owl,60,20,131,57.8,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
9,Night Owl,63,12,77,72.0,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
10,Night Owl,70,29,107,67.0,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
11,Night Owl,39,22,98,80.6,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
12,Night Owl,65,14,118,66.1,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
13,Night Owl,51,33,136,79.3,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
14,Night Owl,48,26,118,79.8,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
15,Night Owl,53,27,82,58.0,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
16,Night Owl,71,39,108,80.0,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
17,Night Owl,65,23,119,85.4,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
18,Night Owl,59,41,60,78.2,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
19,Night Owl,61,26,112,50.1,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
20,Night Owl,57,31,147,64.8,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
21,Night Owl,49,24,133,73.3,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
22,Night Owl,53,32,112,79.7,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
23,Night Owl,50,25,100,55.4,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
24,Night Owl,64,30,110,67.7,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
25,Night Owl,40,25,101,62.0,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
26,Night Owl,58,31,157,71.7,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
27,Night Owl,64,27,62,69.7,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
28,Night Owl,61,48,105,73.0,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
29,Night Owl,60,19,139,77.5,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
30,Night Owl,71,21,145,56.0,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
31,Night Owl,68,46,85,64.3,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
32,Night Owl,61,24,71,70.7,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
33,Night Owl,45,32,87,85.5,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
34,Night Owl,49,25,130,57.7,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
35,Night Owl,63,38,70,71.8,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
36,Night Owl,64,34,79,56.8,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
37,Night Owl,67,30,116,73.5,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
38,Night Owl,50,30,117,62.9,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
39,Night Owl,86,32,80,76.6,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
40,Night Owl,46,34,139,61.8,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
41,Night Owl,73,31,131,89.0,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
42,Night Owl,57,22,88,61.8,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
43,Night Owl,59,31,117,78.3,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
44,Night Owl,60,40,103,92.0,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
45,Night Owl,69,21,83,74.8,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
46,Night Owl,57,34,122,69.3,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
47,Night Owl,48,16,99,78.6,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
48,Night Owl,63,18,114,73.9,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
49,Night Owl,48,29,111,58.6,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
50,Balanced User,28,12,16,26.3,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
51,Balanced User,15,6,13,23.1,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
52,Balanced User,29,22,13,26.8,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
53,Balanced User,32,13,8,24.6,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
54,Balanced User,20,9,7,20.5,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
55,Balanced User,41,3,14,10.3,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
56,Balanced User,22,14,10,13.5,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
57,Balanced User,20,13,6,21.3,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
58,Balanced User,25,7,23,23.8,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
59,Balanced User,11,11,6,25.1,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
60,Balanced User,19,10,13,25.2,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
61,Balanced User,17,9,7,16.1,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
62,Balanced User,37,12,2,25.5,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
63,Balanced User,40,14,1,17.1,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
64,Balanced User,34,7,13,24.6,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
65,Balanced User,19,10,0,13.9,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
66,Balanced User,23,5,20,11.4,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
67,Balanced User,22,11,19,11.4,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
68,Balanced User,33,10,4,22.8,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
69,Balanced User,26,8,10,17.7,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
70,Balanced User,26,13,20,12.6,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
71,Balanced User,40,2,9,23.5,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
72,Balanced User,27,8,9,17.0,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
73,Balanced User,21,13,12,15.8,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
74,Balanced User,31,11,15,23.8,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
75,Balanced User,19,8,14,23.7,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
76,Balanced User,25,10,18,16.5,real_kaggle_anchored,real_kaggle_anchored,literature_simulated,literature_simulated
