UserDay_ID,Profile,ScreenGlances,IdleChecking,LateNightUse,SocialMediaUsage,FocusQuality,SleepQuality,DigitalOverload,HabitBalance,Recommendation
0,Night Owl,67,27,126,85.2,3.5,1.8,8.44,2.43,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
1,Night Owl,57,26,149,77.7,3.5,1.8,8.44,2.43,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
2,Night Owl,53,32,98,65.3,3.91,2.0,7.5,2.86,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
3,Night Owl,63,13,67,64.4,4.48,4.7,5.97,4.48,Focus quality is weak. Reduce screen glances and habitual idle checks.
4,Night Owl,46,31,87,55.9,4.33,2.23,5.43,3.54,Sleep quality is weak. Reduce late-night use after 22:00.
5,Night Owl,81,26,112,55.8,4.33,1.95,5.58,3.4,Sleep quality is weak. Reduce late-night use after 22:00.
6,Night Owl,52,29,81,73.8,3.79,2.37,8.3,2.8,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
7,Night Owl,52,26,95,88.5,3.5,1.8,8.44,2.43,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
8,Night Owl,60,20,131,57.8,4.27,2.18,5.91,3.4,Sleep quality is weak. Reduce late-night use after 22:00.
9,Night Owl,63,12,77,72.0,4.0,2.9,8.23,3.11,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
10,Night Owl,70,29,107,67.0,3.79,1.97,7.81,2.74,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
11,Night Owl,39,22,98,80.6,3.5,1.8,8.26,2.47,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
12,Night Owl,65,14,118,66.1,3.86,1.99,7.65,2.81,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
13,Night Owl,51,33,136,79.3,3.5,1.8,8.44,2.43,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
14,Night Owl,48,26,118,79.8,3.5,1.8,8.44,2.43,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
15,Night Owl,53,27,82,58.0,4.32,3.13,5.96,3.79,Sleep quality is weak. Reduce late-night use after 22:00.
16,Night Owl,71,39,108,80.0,3.5,1.8,8.44,2.43,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
17,Night Owl,65,23,119,85.4,3.5,1.8,8.44,2.43,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
18,Night Owl,59,41,60,78.2,4.28,5.18,8.03,4.18,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
19,Night Owl,61,26,112,50.1,4.44,5.0,5.18,4.74,Focus quality is weak. Reduce screen glances and habitual idle checks.
20,Night Owl,57,31,147,64.8,3.95,2.01,7.41,2.9,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
21,Night Owl,49,24,133,73.3,3.5,1.83,8.41,2.45,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
22,Night Owl,53,32,112,79.7,3.5,1.8,8.44,2.43,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
23,Night Owl,50,25,100,55.4,4.34,2.24,5.3,3.57,Sleep quality is weak. Reduce late-night use after 22:00.
24,Night Owl,64,30,110,67.7,3.73,1.95,7.94,2.68,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
25,Night Owl,40,25,101,62.0,4.1,2.08,6.86,3.1,Sleep quality is weak. Reduce late-night use after 22:00.
26,Night Owl,58,31,157,71.7,3.5,1.86,8.38,2.47,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
27,Night Owl,64,27,62,69.7,4.43,5.19,5.25,4.8,Focus quality is weak. Reduce screen glances and habitual idle checks.
28,Night Owl,61,48,105,73.0,2.55,1.84,8.41,2.07,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
29,Night Owl,60,19,139,77.5,3.5,1.8,8.44,2.43,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
30,Night Owl,71,21,145,56.0,4.32,2.13,5.46,3.49,Sleep quality is weak. Reduce late-night use after 22:00.
31,Night Owl,68,46,85,64.3,3.16,2.03,7.31,2.61,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
32,Night Owl,61,24,71,70.7,4.24,3.87,8.12,3.62,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
33,Night Owl,45,32,87,85.5,3.5,1.85,8.4,2.46,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
34,Night Owl,49,25,130,57.7,4.27,2.18,5.89,3.4,Sleep quality is weak. Reduce late-night use after 22:00.
35,Night Owl,63,38,70,71.8,4.25,4.06,8.1,3.7,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
36,Night Owl,64,34,79,56.8,4.41,4.1,5.66,4.27,Sleep quality is weak. Reduce late-night use after 22:00.
37,Night Owl,67,30,116,73.5,3.5,1.83,8.42,2.45,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
38,Night Owl,50,30,117,62.9,4.06,2.06,7.04,3.04,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
39,Night Owl,86,32,80,76.6,3.79,2.5,8.38,2.84,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
40,Night Owl,46,34,139,61.8,4.11,2.08,6.82,3.11,Sleep quality is weak. Reduce late-night use after 22:00.
41,Night Owl,73,31,131,89.0,3.5,1.8,8.44,2.43,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
42,Night Owl,57,22,88,61.8,4.12,2.08,6.82,3.12,Sleep quality is weak. Reduce late-night use after 22:00.
43,Night Owl,59,31,117,78.3,3.5,1.8,8.44,2.43,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
44,Night Owl,60,40,103,92.0,3.5,1.8,8.44,2.43,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
45,Night Owl,69,21,83,74.8,3.65,2.12,8.33,2.64,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
46,Night Owl,57,34,122,69.3,3.58,1.92,8.22,2.56,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
47,Night Owl,48,16,99,78.6,3.5,1.8,8.44,2.43,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
48,Night Owl,63,18,114,73.9,3.5,1.82,8.42,2.44,Digital overload is high. Reduce social-media-heavy sessions and idle checking.
49,Night Owl,48,29,111,58.6,4.24,2.16,6.1,3.34,Sleep quality is weak. Reduce late-night use after 22:00.
50,Balanced User,28,12,16,26.3,7.58,8.11,2.9,7.7,Your digital rhythm looks balanced. Keep the current pattern stable.
51,Balanced User,15,6,13,23.1,8.31,8.37,1.88,8.3,Your digital rhythm looks balanced. Keep the current pattern stable.
52,Balanced User,29,22,13,26.8,6.73,5.0,3.87,5.92,The pattern is moderate. Small reductions in checking behavior could improve balance.
53,Balanced User,32,13,8,24.6,7.17,8.19,3.48,7.45,Your digital rhythm looks balanced. Keep the current pattern stable.
54,Balanced User,20,9,7,20.5,8.52,8.44,1.8,8.42,Your digital rhythm looks balanced. Keep the current pattern stable.
55,Balanced User,41,3,14,10.3,7.0,5.0,5.0,5.8,The pattern is moderate. Small reductions in checking behavior could improve balance.
56,Balanced User,22,14,10,13.5,8.69,8.28,1.84,8.42,Your digital rhythm looks balanced. Keep the current pattern stable.
57,Balanced User,20,13,6,21.3,8.0,8.33,1.92,8.15,Your digital rhythm looks balanced. Keep the current pattern stable.
58,Balanced User,25,7,23,23.8,7.37,6.4,2.9,6.93,The pattern is moderate. Small reductions in checking behavior could improve balance.
59,Balanced User,11,11,6,25.1,8.2,8.41,1.84,8.28,Your digital rhythm looks balanced. Keep the current pattern stable.
60,Balanced User,19,10,13,25.2,8.24,8.37,1.88,8.27,Your digital rhythm looks balanced. Keep the current pattern stable.
