UserDay_ID,Profile,ScreenGlances,IdleChecking,LateNightUse,SocialMediaUsage
0,Night Owl,67,27,126,85.2
1,Night Owl,57,26,149,77.7
2,Night Owl,53,32,98,65.3
3,Night Owl,63,13,67,64.4
4,Night Owl,46,31,87,55.9
5,Night Owl,81,26,112,55.8
6,Night Owl,52,29,81,73.8
7,Night Owl,52,26,95,88.5
8,Night Owl,60,20,131,57.8
9,Night Owl,63,12,77,72.0
10,Night Owl,70,29,107,67.0
11,Night Owl,39,22,98,80.6
12,Night Owl,65,14,118,66.1
13,Night Owl,51,33,136,79.3
14,Night Owl,48,26,118,79.8
15,Night Owl,53,27,82,58.0
16,Night Owl,71,39,108,80.0
17,Night Owl,65,23,119,85.4
18,Night Owl,59,41,60,78.2
19,Night Owl,61,26,112,50.1
20,Night Owl,57,31,147,64.8
21,Night Owl,49,24,133,73.3
22,Night Owl,53,32,112,79.7
23,Night Owl,50,25,100,55.4
24,Night Owl,64,30,110,67.7
25,Night Owl,40,25,101,62.0
26,Night Owl,58,31,157,71.7
27,Night Owl,64,27,62,69.7
28,Night Owl,61,48,105,73.0
29,Night Owl,60,19,139,77.5
30,Night Owl,71,21,145,56.0
31,Night Owl,68,46,85,64.3
32,Night Owl,61,24,71,70.7
33,Night Owl,45,32,87,85.5
34,Night Owl,49,25,130,57.7
35,Night Owl,63,38,70,71.8
36,Night Owl,64,34,79,56.8
37,Night Owl,67,30,116,73.5
38,Night Owl,50,30,117,62.9
39,Night Owl,86,32,80,76.6
40,Night Owl,46,34,139,61.8
41,Night Owl,73,31,131,89.0
42,Night Owl,57,22,88,61.8
43,Night Owl,59,31,117,78.3
44,Night Owl,60,40,103,92.0
45,Night Owl,69,21,83,74.8
46,Night Owl,57,34,122,69.3
47,Night Owl,48,16,99,78.6
48,Night Owl,63,18,114,73.9
49,Night Owl,48,29,111,58.6
50,Balanced User,28,12,16,26.3
51,Balanced User,15,6,13,23.1
52,Balanced User,29,22,13,26.8
53,Balanced User,32,13,8,24.6
54,Balanced User,20,9,7,20.5
55,Balanced User,41,3,14,10.3
56,Balanced User,22,14,10,13.5
57,Balanced User,20,13,6,21.3
58,Balanced User,25,7,23,23.8
59,Balanced User,11,11,6,25.1
60,Balanced User,19,10,13,25.2
61,Balanced User,17,9,7,16.1
62,Balanced User,37,12,2,25.5
63,Balanced User,40,14,1,17.1
64,Balanced User,34,7,13,24.6
65,Balanced User,19,10,0,13.9
66,Balanced User,23,5,20,11.4
67,Balanced User,22,11,19,11.4
68,Balanced User,33,10,4,22.8
69,Balanced User,26,8,10,17.7
70,Balanced User,26,13,20,12.6
71,Balanced User,40,2,9,23.5
72,Balanced User,27,8,9,17.0
73,Balanced User,21,13,12,15.8
74,Balanced User,31,11,15,23.8
75,Balanced User,19,8,14,23.7
76,Balanced User,25,10,18,16.5
77,Balanced User,29,9,9,26.6
78,Balanced User,31,13,18,20.1
79,Balanced User,30,9,12,19.2
